ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Phone,Scanner,Service,Site5,9,Medium
Phone,Printer,Service,Site2,9,Medium
Email,Telecommunication,Telecommunication,Site1,9,Medium
Phone,Printer,Hardware,Site2,9,Medium
Phone,Printer,Hardware,Site2,9,Medium
Email,IPPhone,Telecommunication,Site5,9,Medium
Phone,IPPhone,Telecommunication,Site1,9,Critical
Phone,Printer,Hardware,Site2,9,High
Phone,Printer,Hardware,Site2,9,Medium
Phone,Printer,Hardware,Site3,9,Medium
Phone,IntranetHO,Functionality,Site4,9,Medium
Email,VoiceConf,Telecommunication,Site4,9,Critical
Phone,IntranetHO,Functionality,Site4,9,Medium
Phone,IntranetHO,Functionality,Site1,9,Medium
Phone,Printer,Hardware,Site4,8,Medium
Phone,IPPhone,Service,Site4,8,Medium
Email,IPPhone,Telecommunication,Site1,9,Medium
Phone,Telecommunication,Telecommunication,Site4,8,Medium
Phone,Printer,Hardware,Site4,8,Critical
Phone,OSClient,Software,Site1,8,Medium
Phone,PCDesktop,Functionality,Site5,8,Medium
Phone,IntranetHO,Service,Site1,8,Medium
Phone,AppIM,Software,Site4,8,Medium
Phone,Printer,Service,Site4,8,Medium
Phone,Printer,Functionality,Site4,8,High
Phone,Browser,Software,Site2,7,High
Phone,Printer,Service,Site3,7,Medium
Phone,OSServer,Software,Site5,7,High
Email,Telecommunication,Telecommunication,Site32,7,Medium
Phone,IntranetHO,Network,Site4,7,Medium
Phone,Printer,Functionality,Site4,18,Medium
Phone,Peripheral,Account,Site2,18,Medium
Email,IPPhone,Service,Site1,17,Medium
Phone,PCDesktop,Functionality,Site1,16,Medium
Phone,Printer,Hardware,Site2,16,High
Phone,IntranetHO,Functionality,Site4,16,Medium
Phone,IPPhone,Telecommunication,Site4,16,Medium
Phone,Printer,Software,Site4,16,High
Phone,Printer,Hardware,Site2,16,Medium
Phone,Printer,Hardware,Site4,15,Medium
Phone,AppIM,Software,Site1,15,Medium
Phone,Printer,Service,Site1,15,Medium
Phone,Monitor,Functionality,Site2,15,High
Phone,Printer,Service,Site4,14,Medium
Email,AppIM,Software,Site19,14,Medium
Phone,Monitor,Functionality,Site5,14,Medium
Phone,AppIM,Service,Site5,14,Critical
Phone,Monitor,Functionality,Site5,14,Medium
Phone,Telecommunication,Functionality,Site1,13,Medium
Email,AppBK,Software,Site25,13,Medium
Phone,AppSystem,Software,Site2,13,High
Email,AppIM,Software,Site4,13,Medium
